Player,bbref_id,PlayerID,status,pos,height,weight,num,code,team_id,team_name,birthdate,age,exp,school,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Cristiano Felicio,feliccr01,1626245,,F-C,82,270,6,CHI,1610612741,Chicago Bulls,7/7/1992,27,4,Flamengo,2020,802,386,-2.103294375,-4.431953431,-6.535247806,3.069716735,-8.608167473,-5.538450738,-1.096009403,-5.587397518,-6.683406921,-0.7685846146,-0.7685846146,0,-2.990720318,-4.115044335,-7.105764653,-0.7966285697
Daniel Gafford,gaffoda01,1629655,,F-C,82,234,12,CHI,1610612741,Chicago Bulls,10/1/1998,21,0,Arkansas,2020,1296,609,-2.709120373,0.1053257469,-2.603794626,-1.725592249,3.244549021,1.518956772,-2.616491372,0.7333354073,-1.883155964,0.2692231562,0.2692231562,0,-3.586176828,0.5848614587,-3.00131537,-0.04374902309
Denzel Valentine,valende01,1627756,,G,76,210,45,CHI,1610612741,Chicago Bulls,11/16/1993,25,2,Michigan State,2020,1022,488,0.5505129106,1.674205243,2.224718153,-2.625026668,1.572142044,-1.052884624,-0.01652333701,1.746954137,1.7304308,1.118702051,1.118702051,0,-0.1381164533,1.062377287,0.9242608334,0.2903448085
Kris Dunn,dunnkr01,1627739,Out,G,75,205,32,CHI,1610612741,Chicago Bulls,3/18/1994,25,3,Providence,2020,2686,1269,-1.280171444,3.843048198,2.562876754,-3.215331988,4.620573924,1.405241936,-1.712793316,4.228700891,2.515907575,3.41371607,3.41371607,0,-2.172453786,5.069416665,2.896962879,0.1297570068
Lauri Markkanen,markkla01,1628374,Out,F-C,84,240,24,CHI,1610612741,Chicago Bulls,5/22/1997,22,2,Arizona,2020,3162,1492,-0.7495558968,-2.858004754,-3.607560651,-1.813314322,1.114350248,-0.6989640737,-0.9597044773,-2.216125331,-3.175829808,-0.3259250218,-0.3259250218,0,-0.8617895526,-1.328363912,-2.190153465,0.5587468858
Luke Kornet,kornelu01,1628436,Out,F-C,86,240,2,CHI,1610612741,Chicago Bulls,7/15/1995,24,2,Vanderbilt,2020,1181,559,-3.108173232,-3.149510226,-6.257683458,-1.580790994,-1.494110324,-3.074901318,-2.923245759,-3.030098093,-5.953343852,-0.9102585031,-0.9102585031,0,-3.165055881,-2.087625327,-5.252681208,-0.373028731
Max Strus,strusma01,1629622,Out,G-F,77,215,28,CHI,1610612741,Chicago Bulls,3/28/1996,23,0,DePaul,2020,15,6,10.06833794,8.030158486,18.09849642,49.29977391,24.1803345,73.48010841,18.97608297,11.90582017,30.88190314,0.1053242482,0.1053242482,0,14.89619916,4.67712013,19.57331929,2.348468792
Otto Porter Jr.,porteot01,203490,Out,F,80,198,22,CHI,1610612741,Chicago Bulls,6/3/1993,26,6,Georgetown,2020,704,331,1.346451278,0.5075560808,1.854007359,1.871410503,-0.1508118875,1.720598616,1.598469795,0.4020731286,2.000542924,0.8066695466,0.8066695466,0,0.8233051297,0.1361108624,0.9594159921,0.5614864774
Ryan Arcidiacono,arcidry01,1627853,,SF,75,195,51,CHI,1610612741,Chicago Bulls,3/26/1994,25,2,Villanova,2020,1990,930,-0.5860829474,1.995994695,1.409911747,-2.270587993,1.521426675,-0.749161318,-0.9201249106,2.030590937,1.110466026,1.833856287,1.833856287,0,-1.843687368,1.357710251,-0.4859771169,0.1180158796
Shaquille Harrison,harrish01,1627885,Starter,G,79,190,3,CHI,1610612741,Chicago Bulls,10/6/1993,26,2,Tulsa,2020,1027,484,1.499857636,3.436886358,4.936743993,0.1996703553,6.794580514,6.994250869,1.386937311,4.349297376,5.736234687,2.094449387,2.094449387,0,-0.313844941,3.74249686,3.428651919,-0.05423915473
Thaddeus Young,youngth01,201152,Starter,PF,80,220,21,CHI,1610612741,Chicago Bulls,6/21/1988,31,12,Georgia Tech,2020,3393,1591,-2.328526609,0.9065519931,-1.421974616,-4.093487746,0.1589180157,-3.934569731,-2.781052625,0.785076388,-1.995976237,0.6161390323,0.6161390323,0,-2.790623926,1.228594484,-1.562029442,0.679425432
Tomas Satoransky,satorto01,203107,Starter,PG,79,198,31,CHI,1610612741,Chicago Bulls,10/30/1991,27,3,,2020,3945,1878,-0.5521945339,0.4305251412,-0.1216693927,2.080412845,-0.6899747817,1.390438063,0.01913208889,0.2372000496,0.2563321385,2.876433176,2.876433176,0,-0.2494153566,0.5073372559,0.2579218994,-0.1452199155
Wendell Carter Jr.,cartewe01,1628976,Starter,C-F,81,259,34,CHI,1610612741,Chicago Bulls,4/16/1999,20,1,Duke,2020,2637,1256,-3.028382221,-0.6254351997,-3.653817421,-1.26217387,3.164611193,1.902437324,-2.79305224,0.1091981248,-2.683854115,0.04235334245,0.04235334245,0,-3.0281099,0.834918529,-2.193191371,-0.08105701253
Zach LaVine,lavinza01,203897,Starter,SG,78,181,8,CHI,1610612741,Chicago Bulls,3/10/1995,24,5,UCLA,2020,4381,2085,1.067809734,-0.06551293393,1.0022968,1.024233593,-6.022703647,-4.998470055,1.195913327,-1.300293853,-0.104380526,2.826856905,2.826856905,0,1.639208788,-1.145327668,0.4938811204,0.4543118087
Alfonzo McKinnie,mckinal01,1628035,Out,F,79,215,28,CLE,1610612739,Cleveland Cavaliers,9/17/1992,27,2,Wisc.-Green Bay,2020,1253,593,-3.6007479,-2.870293424,-6.471041323,-0.7310247635,0.1349503498,-0.5960744137,-3.164011573,-2.358863737,-5.522875311,-0.8372369582,-0.8372369582,0,-2.659438822,-2.665231151,-5.324669973,-0.2058049517
Andre Drummond,drumman01,203083,Starter,C,82,279,0,CLE,1610612739,Cleveland Cavaliers,8/10/1993,26,7,Connecticut,2020,3868,1879,-2.763439167,2.08340018,-0.6800389872,-0.9082723045,-0.6348746273,-1.543146932,-2.520688853,1.724293543,-0.79639531,1.889636091,1.889636091,0,-1.722031839,2.490857188,0.7688253498,0.6038570219
Ante Zizic,zizican01,1627790,,C,82,254,41,CLE,1610612739,Cleveland Cavaliers,1/4/1997,22,2,,2020,468,221,-3.796051193,-0.9630225651,-4.759073759,4.271306744,-0.3000285357,3.971278209,-2.265492716,-0.7067507078,-2.972243424,-0.02490765637,-0.02490765637,0,-2.478816849,-1.828173961,-4.30699081,-0.6155840415
Cedi Osman,osmande01,1626224,Starter,F,79,215,16,CLE,1610612739,Cleveland Cavaliers,4/8/1995,24,2,,2020,3991,1910,-0.8268096518,-0.3731477367,-1.199957389,-0.7678086723,-2.32357018,-3.091378852,-0.8201164464,-0.7496362555,-1.569752702,1.150550073,1.150550073,0,-0.7895505657,-0.7224341502,-1.511984716,0.03727941645
Collin Sexton,sextoco01,1629012,Starter,G,73,190,2,CLE,1610612739,Cleveland Cavaliers,1/4/1999,20,1,Alabama,2020,4481,2143,0.9016845358,-3.70529638,-2.803611844,2.46251206,-7.574287866,-5.111775805,1.329463903,-4.682441766,-3.352977863,-0.660843561,-0.660843561,0,1.306924972,-4.384630194,-3.077705222,0.2433130785
Dante Exum,exumda01,203957,Out,G,77,190,11,CLE,1610612739,Cleveland Cavaliers,7/13/1995,24,4,,2020,1022,485,-1.001237553,-0.1274609472,-1.1286985,-6.22302665,2.546232868,-3.676793782,-2.107577812,0.4911394298,-1.616438382,0.2806168037,0.2806168037,0,-2.411159457,-0.8811119199,-3.292271377,0.08979995027
Darius Garland,garlada01,1629636,Starter,G,73,175,10,CLE,1610612739,Cleveland Cavaliers,1/26/2000,19,0,Vanderbilt,2020,3814,1824,-3.051647567,-4.295434594,-7.347082161,-0.3083745041,-1.456909313,-1.765283817,-2.618428261,-3.917984644,-6.536412904,-3.513989427,-3.513989427,0,-2.002807573,-3.668671789,-5.671479362,-0.2797829748
Dean Wade,wadede01,1629731,,F-C,81,228,32,CLE,1610612739,Cleveland Cavaliers,11/20/1996,22,0,Kansas State,2020,156,71,-3.071046919,-3.554714392,-6.625761311,-1.756045317,0.01507672791,-1.740968589,-2.88721561,-2.881485931,-5.768701541,-0.1099693762,-0.1099693762,0,-2.068123634,-3.948746042,-6.016869676,0.5777399439
J.P. Macura,macurjp01,1629122,,,,,,CLE,1610612739,Cleveland Cavaliers,6/5/1995,25,1,Xavier,2020,2,1,-3.938182148,3.745659504,-0.1925226446,29.19159594,66.42101969,95.61261563,2.698400886,16.84405463,19.54245552,0.01090662293,0.01090662293,0,-1.616946551,6.231485586,4.614539034,-4.188302579
Kevin Love,loveke01,201567,Starter,F-C,80,251,0,CLE,1610612739,Cleveland Cavaliers,9/7/1988,31,11,UCLA,2020,3715,1780,1.239443973,-0.9615585766,0.2778853961,1.819455638,-3.495822256,-1.676366618,1.481384371,-1.469665983,0.01171838797,2.536594292,2.536594292,0,2.550373477,-1.673350426,0.8770230507,1.160082073
Kevin Porter Jr.,porteke02,1629645,,G-F,76,216,4,CLE,1610612739,Cleveland Cavaliers,5/4/2000,19,0,USC,2020,2424,1162,-1.726069475,-1.933457338,-3.659526812,-4.955744686,-0.2229682523,-5.178712938,-2.454847547,-1.594871152,-4.049718698,-0.7732375067,-0.7732375067,0,-1.868279678,-1.60681334,-3.475093018,0.3569275177
Larry Nance Jr.,nancela02,1626204,,F-C,79,230,22,CLE,1610612739,Cleveland Cavaliers,1/1/1993,26,4,Wyoming,2020,3064,1472,0.2843241411,0.1164484566,0.4007725977,-1.164046178,4.186578081,3.022531902,0.04702042267,1.030030416,1.077050839,2.853394559,2.853394559,0,0.4771858656,0.345812132,0.8229979976,-0.7373515647
Malik Newman,newmama01,1629005,,,,,,CLE,1610612739,Cleveland Cavaliers,2/21/1997,23,0,University of Kansas,2020,8,4,,,,,,,0,0,0,0,0,0,0,0,0,
Marques Bolden,boldema01,1629716,,C,82,249,1,CLE,1610612739,Cleveland Cavaliers,4/17/1998,21,0,Duke,2020,7,3,-2.617809028,36.0938127,33.47600368,-23.5998504,45.60271098,22.00286058,-7.046770482,40.80560976,33.75883928,0.05761022272,0.05761022272,0,-6.082786648,33.69077495,27.6079883,3.157659448
Matt Mooney,moonema01,1629760,,G,74,199,3,CLE,1610612739,Cleveland Cavaliers,2/7/1997,22,0,Texas Tech,2020,41,19,-1.633820385,11.52440363,9.890583243,-7.874202603,18.23993873,10.36573613,-2.983305418,13.75280445,10.76949904,0.1294157386,0.1294157386,0,-1.614010321,9.302924018,7.688913697,-1.276171597
Matthew Dellavedova,dellama01,203521,,G,75,200,18,CLE,1610612739,Cleveland Cavaliers,9/8/1990,29,6,St. Mary's (CA),2020,1731,821,-1.368641605,1.303529123,-0.06511248225,-2.903189354,6.838500244,3.93531089,-1.728113188,2.605604838,0.8774916503,1.519763826,1.519763826,0,-1.836608663,0.9076890667,-0.9289195964,0.02021819752
Tristan Thompson,thomptr01,202684,Out,C-F,81,238,13,CLE,1610612739,Cleveland Cavaliers,3/13/1991,28,8,Texas,2020,3554,1721,-2.010560524,1.447781834,-0.56277869,-2.748767121,-1.954858665,-4.703625786,-2.245463056,0.9511203042,-1.294342752,1.26024622,1.26024622,0,-1.681276862,0.3039922885,-1.377284573,-1.428555431
Tyler Cook,cookty01,1629076,,F,80,255,34,CLE,1610612739,Cleveland Cavaliers,9/23/1997,22,0,Iowa,2020,77,35,-0.1714707911,-6.30197771,-6.473448502,-5.758071676,-3.099450371,-8.857522047,-1.264687322,-5.885923628,-7.15061095,-0.07815860308,-0.07815860308,0,-0.951276317,-8.351126955,-9.302403272,-0.5492362393
Antonius Cleveland,clevean01,1628499,Inactive,G,77,195,3,DAL,1610612742,Dallas Mavericks,2/2/1994,25,1,Southeast Missouri State,2020,46,22,-8.699448241,-3.085157392,-11.78460563,-7.163971186,-10.59340959,-17.75738077,-8.992385761,-4.880686723,-13.87307248,-0.1252184124,-0.1252184124,0,-5.821506263,-6.69126266,-12.51276892,0.3011586983
Boban Marjanovic,marjabo01,1626246,,C,88,290,51,DAL,1610612742,Dallas Mavericks,8/15/1988,31,4,,2020,725,342,3.610686809,0.3480854485,3.958772258,6.613489355,-1.620283552,4.993205803,4.300640185,-0.06065517746,4.239985007,1.221146814,1.221146814,0,3.866814356,-0.9109954627,2.955818893,0.1234045716
Courtney Lee,leeco01,201584,Starter,G,77,215,1,DAL,1610612742,Dallas Mavericks,10/3/1985,34,11,Western Kentucky,2020,728,345,-1.468208116,-0.4816164017,-1.949824518,3.764311923,-2.653422475,1.110889448,-0.508943379,-0.9910095836,-1.499952963,0.2187672649,0.2187672649,0,-0.5921932377,-1.027402554,-1.619595792,-0.586346856
Delon Wright,wrighde01,1626153,,G,77,185,55,DAL,1610612742,Dallas Mavericks,4/26/1992,27,4,Utah,2020,3020,1427,1.316774423,0.4312411301,1.748015554,-1.882809641,-0.3009343396,-2.183743981,0.6808232574,0.2952754655,0.976098723,2.695566079,2.695566079,0,0.7111259658,0.2324365946,0.9435625603,-0.6482682734
Dorian Finney-Smith,finnedo01,1627827,,PF,79,220,10,DAL,1610612742,Dallas Mavericks,5/4/1993,26,3,Florida,2020,4013,1926,-0.8835650723,0.5342081226,-0.3493569497,3.309033727,0.2720222418,3.581055969,-0.09200753009,0.5115902825,0.4195827524,3.088045803,3.088045803,0,0.2228141758,0.348762924,0.5715770997,-0.8688816598
Dwight Powell,poweldw01,203939,Out,F-C,82,240,7,DAL,1610612742,Dallas Mavericks,7/20/1991,28,5,Stanford,2020,2197,1061,-0.9128577696,0.9726567771,0.0597990075,3.258884143,0.3466409967,3.605525139,-0.1268734147,0.9055346184,0.7786612037,1.898039396,1.898039396,0,0.6905782913,0.8529445354,1.543522827,-0.646348886
J.J. Barea,bareajo01,200826,,G,70,180,5,DAL,1610612742,Dallas Mavericks,6/26/1984,35,13,Northeastern,2020,815,391,2.177826709,0.9599506457,3.137777355,0.7316768898,-1.227199893,-0.4955230035,1.894634866,0.5542555372,2.448890403,1.034716085,1.034716085,0,2.197315582,-1.655891369,0.5414242131,-0.2361739066
Jalen Brunson,brunsja01,1628973,Out,G,73,190,13,DAL,1610612742,Dallas Mavericks,8/31/1996,23,1,Villanova,2020,2145,1022,1.214999233,0.3326823271,1.54768156,1.593433598,3.208607858,4.802041456,1.27954716,0.9461546354,2.225701795,2.577131904,2.577131904,0,1.375130426,-0.3115499,1.063580526,-0.6809943624
Josh Reaves,reavejo02,1629729,Inactive,G-F,76,214,23,DAL,1610612742,Dallas Mavericks,6/4/1997,22,0,Penn State,2020,3,1,-28.23283371,-24.65395397,-52.88678768,-64.24127852,-20.85848468,-85.0997632,-37.67906011,-25.42925101,-63.10831113,-0.03008788542,-0.03008788542,0,-21.3063199,-21.65285697,-42.95917688,-2.34167469
Justin Jackson,jacksju01,1628382,,F,79,220,44,DAL,1610612742,Dallas Mavericks,3/28/1995,24,2,North Carolina,2020,1982,937,-1.484971166,-2.209348983,-3.694320149,1.778193783,-3.478876937,-1.700683154,-0.9588832035,-2.629210105,-3.588093308,-0.3968408974,-0.3968408974,0,-0.7975647659,-3.529863708,-4.327428474,-0.9715053164
Justin Patton,pattoju01,1628383,,C,83,241,13,DAL,1610612742,Dallas Mavericks,6/14/1997,22,2,Creighton,2020,56,24,-5.478192985,-4.217471691,-9.695664676,-2.918071208,-10.80130901,-13.71938022,-5.293130031,-5.853967842,-11.14709787,-0.1030384905,-0.1030384905,0,-4.070188627,-4.763320864,-8.833509491,0.2159838112
Kristaps Porzingis,porzikr01,204001,Out,C,87,240,6,DAL,1610612742,Dallas Mavericks,8/2/1995,24,3,,2020,3461,1636,-0.2041708622,2.026030638,1.821859776,1.185496393,2.335372016,3.520868409,-0.05716635319,2.218641792,2.161475439,4.127548359,4.127548359,0,1.928013044,1.735342186,3.66335523,0.6967783155
Luka Doncic,doncilu01,1629029,Starter,PG,79,230,77,DAL,1610612742,Dallas Mavericks,2/28/1999,20,1,,2020,3876,1841,8.613224805,-0.9453216691,7.667903136,2.579997821,-2.241446554,0.3385512675,7.679319669,-1.279609778,6.399709891,8.724345814,8.724345814,0,8.311767395,-1.747417591,6.564349804,1.545667925
Maxi Kleber,klebima01,1628467,Starter,F,82,240,42,DAL,1610612742,Dallas Mavericks,1/29/1992,27,2,,2020,3655,1729,-0.9387525216,1.012518515,0.07376599356,-1.689417899,1.075840904,-0.613576995,-1.19120935,1.087799842,-0.1034095075,2.323927344,2.323927344,0,-0.9793936989,0.5894904304,-0.3899032686,-0.4685985672
Ryan Broekhoff,broekry01,1629151,,G-F,78,215,45,DAL,1610612742,Dallas Mavericks,8/23/1990,29,1,Valparaiso,2020,388,180,1.736583513,1.440248314,3.176831827,2.208910706,-4.042137586,-1.83322688,1.869932334,0.3602801115,2.230212446,0.4594437592,0.4594437592,0,2.091240301,-1.284284192,0.8069561094,0.4641256837
Seth Curry,curryse01,203552,Out,SG,74,185,30,DAL,1610612742,Dallas Mavericks,8/23/1990,29,5,Duke,2020,3104,1471,2.842804921,-2.491076357,0.3517285642,-0.06852843798,-0.0448176047,-0.1133460427,2.335977877,-2.14255397,0.1934239071,2.196168651,2.196168651,0,2.240886539,-2.294169225,-0.05328268544,-0.5949134822
Tim Hardaway Jr.,hardati02,203501,Starter,SF,77,205,11,DAL,1610612742,Dallas Mavericks,3/16/1992,27,6,Michigan,2020,3951,1856,2.223875894,0.2024357345,2.426311629,2.704973111,1.308476602,4.013449713,2.36920821,0.4409434221,2.810151633,5.290143903,5.290143903,0,2.938079287,-0.3404317011,2.597647586,0.4855747743
Willie Cauley-Stein,caulewi01,1626161,,C,84,240,2,DAL,1610612742,Dallas Mavericks,8/18/1993,26,4,Kentucky,2020,2301,1097,-4.114368631,4.737983496,0.6236148649,-2.389040135,2.324460363,-0.06457977274,-3.980244517,4.611222726,0.6309782094,1.875410608,1.875410608,0,-4.155436457,4.230769711,0.07533325411,-0.8826807696
Bol Bol,bolbo01,1629626,Bench,C-F,86,220,10,DEN,1610612743,Denver Nuggets,11/16/1999,20,0,Oregon,2020,,,,,,,,,,,,,,,,,,
Gary Harris,harriga01,203914,Inactive,G,76,210,14,DEN,1610612743,Denver Nuggets,9/14/1994,25,5,Michigan State,2020,3623,1780,-2.485998607,1.667981277,-0.8180173299,-2.724895651,2.520613368,-0.2042822822,-2.700462363,1.944214494,-0.7562478689,1.807387632,1.807387632,0,-2.588279349,1.918734866,-0.6695444823,-0.1831160604
Jamal Murray,murraja01,1627750,Inactive,G,76,207,27,DEN,1610612743,Denver Nuggets,2/23/1997,22,3,Kentucky,2020,3666,1804,1.181473589,0.003231303036,1.184704892,1.792147295,2.280013,4.072160294,1.336525519,0.4675410836,1.804066603,4.163245931,4.163245931,0,1.605565537,0.7615498016,2.367115339,-0.6892187737
Jerami Grant,grantje01,203924,,F,80,220,9,DEN,1610612743,Denver Nuggets,3/12/1994,25,5,Syracuse,2020,3455,1676,-0.3720613196,-1.174519971,-1.546581291,-1.471955424,-5.02595139,-6.497906814,-0.6463778076,-2.069220047,-2.715597855,0.02934016101,0.02934016101,0,-0.4300922401,-1.487653423,-1.917745663,-0.2668259538
Jordan McRae,mcraejo01,203895,,G,77,179,52,DEN,1610612743,Denver Nuggets,3/28/1991,28,3,Tennessee,2020,1709,784,0.5853781087,-3.320876522,-2.735498413,-0.8688004823,-0.2713525035,-1.140152986,0.3239804605,-2.817739435,-2.493758975,0.07053794456,0.07053794456,0,-0.1688424913,-3.39253428,-3.561376771,0.3408883079
Keita Bates-Diop,bateske01,1628966,,F,80,235,31,DEN,1610612743,Denver Nuggets,1/23/1996,23,1,Ohio State,2020,1442,665,-1.240022542,-2.360767157,-3.600789699,-7.131784794,-0.385796888,-7.517581682,-2.526137737,-2.077209214,-4.603346951,-0.6237313679,-0.6237313679,0,-3.324301843,-2.563962928,-5.88826477,-0.7011166065
Mason Plumlee,plumlma01,203486,,F-C,83,235,24,DEN,1610612743,Denver Nuggets,3/5/1990,29,6,Duke,2020,1904,900,-0.2145360781,-0.2224456886,-0.4369817667,-0.6892946291,-0.2889912271,-0.9782858561,-0.3500863841,-0.2885854945,-0.6386718786,0.9795949022,0.9795949022,0,-0.3830671557,0.1554877546,-0.2275794011,1.06431202
Michael Porter Jr.,portemi01,1629008,Starter,F,82,210,1,DEN,1610612743,Denver Nuggets,6/29/1998,21,0,Missouri,2020,1427,670,1.192483232,-0.4060316676,0.7864515642,2.29055462,-3.938414627,-1.647860007,1.463419844,-1.190800125,0.2726197194,1.038902381,1.038902381,0,1.924505947,-1.006051334,0.9184546131,0.5595985683
Monte Morris,morrimo01,1628420,Starter,G,74,175,11,DEN,1610612743,Denver Nuggets,6/27/1995,24,2,Iowa State,2020,2920,1402,1.067421139,-1.74436777,-0.6769466308,0.03780510906,-0.7595310091,-0.7217259001,0.900374111,-1.644555174,-0.7441810629,1.419382279,1.419382279,0,0.501145602,-1.577572458,-1.076426856,-1.093527745
Nikola Jokic,jokicni01,203999,Starter,C,84,250,15,DEN,1610612743,Denver Nuggets,2/19/1995,24,4,,2020,4241,2101,4.162609752,0.9720012079,5.13461096,2.615668863,0.7407281924,3.356397055,4.046936425,0.953365925,5.00030235,8.268890421,8.268890421,0,4.826110963,2.26528645,7.091397413,-0.4775447196
Noah Vonleh,vonleno01,203943,,F,82,247,1,DEN,1610612743,Denver Nuggets,8/24/1995,24,5,Indiana,2020,807,364,-2.625113332,1.848160072,-0.7769532595,-6.560351022,2.111056046,-4.449294976,-3.599488091,2.038978412,-1.560509679,0.2206457307,0.2206457307,0,-3.917547025,0.9096362095,-3.007910816,-0.126278713
Paul Millsap,millspa01,200794,Starter,F,79,246,4,DEN,1610612743,Denver Nuggets,2/10/1985,34,13,Louisiana Tech,2020,2197,1075,-0.3277665283,1.474811271,1.147044743,1.722867528,4.67223644,6.395103968,0.0544090182,2.205132997,2.259542015,2.753993478,2.753993478,0,-0.2435237459,2.259760676,2.01623693,0.2389095748
PJ Dozier,doziepj01,1628408,,G-F,78,205,35,DEN,1610612743,Denver Nuggets,10/25/1996,23,2,South Carolina,2020,506,234,-1.913364397,-0.4587026712,-2.372067068,-1.010906874,-0.4928961183,-1.503802993,-1.861963829,-0.495869,-2.357832829,0.04667244576,0.04667244576,0,-1.946652305,-0.7171700843,-2.66382239,-0.3205734346
Torrey Craig,craigto01,1628470,Starter,F,79,215,3,DEN,1610612743,Denver Nuggets,12/19/1990,28,2,South Carolina Upstate,2020,1786,869,-0.4542419064,0.2683925036,-0.1858494028,-1.638481724,-2.964960195,-4.603441919,-0.729596475,-0.4098365775,-1.139433052,0.7098604426,0.7098604426,0,-1.018379354,-0.2179015066,-1.236280861,-0.6009344225
Troy Daniels,danietr01,203584,,G,76,200,30,DEN,1610612743,Denver Nuggets,7/15/1991,28,6,Va Commonwealth,2020,978,457,-0.6737580564,-2.315632929,-2.989390985,-3.967599421,1.157881242,-2.809718179,-1.446044941,-1.797491556,-3.243536497,-0.1315454259,-0.1315454259,0,-1.390981582,-2.674272794,-4.065254376,-0.2083440796
Vlatko Cancar,cancavl01,1628427,Inactive,F,80,210,31,DEN,1610612743,Denver Nuggets,4/10/1997,22,0,,2020,97,45,-1.13302616,0.7732058919,-0.3598202685,-0.4034228705,-1.9758365,-2.379259371,-1.056819876,0.2352797182,-0.8215401579,0.04474126601,0.04474126601,0,-1.578519199,-1.341250347,-2.919769547,1.073065322
Will Barton,bartowi01,203115,Inactive,G,77,190,5,DEN,1610612743,Denver Nuggets,1/6/1991,28,7,Memphis,2020,3911,1916,1.508320273,0.7876574713,2.295977744,2.593638438,1.588104248,4.181742686,1.800532904,0.9896415833,2.790174487,5.387488143,5.387488143,0,1.412786901,1.430295018,2.843081919,-0.5325055617
Blake Griffin,griffbl01,201933,Out,F,81,250,23,DET,1610612765,Detroit Pistons,3/16/1989,30,9,Oklahoma,2020,1048,512,-1.242418119,-2.376441965,-3.618860084,0.7581066277,-1.26045328,-0.502346652,-0.8848562055,-2.262469798,-3.147326003,-0.1043345637,-0.1043345637,0,-0.8129976485,-3.389805185,-4.202802834,0.5347630256
Brandon Knight,knighbr03,202688,,G,74,195,20,DET,1610612765,Detroit Pistons,12/2/1991,27,7,Kentucky,2020,951,462,-2.178078159,-3.981605359,-6.159683518,0.6917625667,-2.199718777,-1.50795621,-1.659958562,-3.813497209,-5.473455771,-0.6277854068,-0.6277854068,0,-0.6488557505,-4.406268053,-5.055123803,0.0439579538
Bruce Brown,brownbr01,1628971,,G-F,76,202,6,DET,1610612765,Detroit Pistons,8/15/1996,23,1,Miami,2020,3336,1634,-1.671139864,2.250240505,0.5791006416,-2.162865462,0.086515521,-2.076349941,-1.850730246,1.987841356,0.1371111101,2.378192037,2.378192037,0,-2.375690953,1.672188038,-0.703502915,-1.216202543
Christian Wood,woodch01,1626174,Starter,F,82,214,35,DET,1610612765,Detroit Pistons,9/27/1995,24,3,UNLV,2020,2748,1325,1.461819314,2.48332763,3.945146944,2.88946098,2.228516877,5.117977856,1.873597449,2.649451359,4.523048807,4.921699938,4.921699938,0,1.572410605,1.076532713,2.648943318,0.103939968
Derrick Rose,rosede01,201565,Out,G,74,200,25,DET,1610612765,Detroit Pistons,10/4/1988,31,10,Memphis,2020,2752,1298,2.694609105,-2.142368954,0.5522401502,1.352735316,-1.888354602,-0.5356192861,2.601558484,-2.193459803,0.408098681,2.098312939,2.098312939,0,1.773188029,-3.343311576,-1.570123547,0.3362946499
Derrick Walton Jr.,waltode01,1628476,,G,72,185,10,DET,1610612765,Detroit Pistons,4/3/1995,24,1,Michigan,2020,536,248,-0.5403869536,-0.1856452607,-0.7260322143,-4.592597271,0.5875010843,-4.005096186,-1.464858764,-0.07713630478,-1.541995068,0.1555210409,0.1555210409,0,-2.383267373,-0.5899883228,-2.973255696,-1.265633743
Donta Hall,halldo01,1629743,,F,81,229,45,BKN,1610612765,Brooklyn Nets,8/7/1997,23,0,Alabama,2020,123,60,-2.817950625,-2.888871437,-5.706822062,-3.948643663,1.253315309,-2.695328354,-3.185941576,-2.135872242,-5.321813817,-0.09810077288,-0.09810077288,0,-3.394161848,-3.46051855,-6.854680398,-0.3099383931
John Henson,hensojo01,203089,Out,F-C,81,219,31,DET,1610612765,Detroit Pistons,12/28/1990,28,7,North Carolina,2020,1259,600,-1.716507425,3.663426616,1.946919191,-0.737372517,3.564047155,2.826674638,-1.5731777,4.006526807,2.433349107,1.578937612,1.578937612,0,-1.120034781,2.824389689,1.704354909,0.3972325039
Jordan Bone,bonejo01,1629648,,G,75,180,18,DET,1610612765,Detroit Pistons,11/5/1997,21,0,Tennessee,2020,108,53,-5.621559465,-12.26003546,-17.88159492,-0.5244861541,0.6718222884,0.1473361343,-4.875965575,-10.3094733,-15.18543888,-0.3290861299,-0.3290861299,0,-4.922129957,-11.88917353,-16.81130349,-2.176764816
Khyri Thomas,thomakh01,1629017,,G,75,210,13,DET,1610612765,Detroit Pistons,5/8/1996,23,1,Creighton,2020,121,61,-3.812718015,-1.977477002,-5.790195017,-10.50596058,-6.0175462,-16.52350678,-5.409937669,-2.894716489,-8.304654158,-0.1736173435,-0.1736173435,0,-4.372995703,-2.738283806,-7.11127951,0.4391807216
Langston Galloway,gallola01,204038,,G,73,200,9,DET,1610612765,Detroit Pistons,12/9/1991,27,5,"St. Joseph's, PA",2020,3552,1702,0.9850671496,-1.198457998,-0.2133908479,0.05806379702,-2.508648921,-2.450585124,0.8800869384,-1.516112425,-0.636025487,1.832350227,1.832350227,0,0.4237045876,-1.779499917,-1.355795329,-0.1856846512
Louis King,kinglo02,1629663,Inactive,F,79,205,14,DET,1610612765,Detroit Pistons,4/6/1999,20,0,Oregon,2020,125,62,-2.951562138,-0.7666692886,-3.718231427,0.9020198702,8.164828453,9.066848324,-2.297549892,1.087287436,-1.210262456,0.04841142958,0.04841142958,0,-2.775207569,-0.9551612435,-3.730368812,-0.6160868273
